P_1X2_H,P_1X2_D,P_1X2_A,P_BTTS_Y,P_BTTS_N,P_OU_0_5_O,P_OU_0_5_U,P_OU_1_5_O,P_OU_1_5_U,P_OU_2_5_O,P_OU_2_5_U,P_OU_3_5_O,P_OU_3_5_U,P_OU_4_5_O,P_OU_4_5_U,P_OU_5_5_O,P_OU_5_5_U,P_GR_0,P_GR_1,P_GR_2,P_GR_3,P_GR_4,P_GR_5+,P_HT_H,P_HT_D,P_HT_A,P_HTFT_H_H,P_HTFT_H_D,P_HTFT_H_A,P_HTFT_D_H,P_HTFT_D_D,P_HTFT_D_A,P_HTFT_A_H,P_HTFT_A_D,P_HTFT_A_A,P_HomeTG_0_5_O,P_HomeTG_0_5_U,P_AwayTG_0_5_O,P_AwayTG_0_5_U,P_HomeTG_1_5_O,P_HomeTG_1_5_U,P_AwayTG_1_5_O,P_AwayTG_1_5_U,P_HomeTG_2_5_O,P_HomeTG_2_5_U,P_AwayTG_2_5_O,P_AwayTG_2_5_U,P_HomeTG_3_5_O,P_HomeTG_3_5_U,P_AwayTG_3_5_O,P_AwayTG_3_5_U,P_HomeCardsY_0-2,P_HomeCardsY_3,P_HomeCardsY_4-5,P_HomeCardsY_6+,P_AwayCardsY_0-2,P_AwayCardsY_3,P_AwayCardsY_4-5,P_AwayCardsY_6+,P_HomeCorners_0-3,P_HomeCorners_4-5,P_HomeCorners_6-7,P_HomeCorners_8-9,P_HomeCorners_10+,P_AwayCorners_0-3,P_AwayCorners_4-5,P_AwayCorners_6-7,P_AwayCorners_8-9,P_AwayCorners_10+,P_CS_0_0,P_CS_0_1,P_CS_0_2,P_CS_0_3,P_CS_0_4,P_CS_0_5,P_CS_1_0,P_CS_1_1,P_CS_1_2,P_CS_1_3,P_CS_1_4,P_CS_1_5,P_CS_2_0,P_CS_2_1,P_CS_2_2,P_CS_2_3,P_CS_2_4,P_CS_2_5,P_CS_3_0,P_CS_3_1,P_CS_3_2,P_CS_3_3,P_CS_3_4,P_CS_3_5,P_CS_4_0,P_CS_4_1,P_CS_4_2,P_CS_4_3,P_CS_4_4,P_CS_4_5,P_CS_5_0,P_CS_5_1,P_CS_5_2,P_CS_5_3,P_CS_5_4,P_CS_5_5,P_CS_Other,League,Date,HomeTeam,AwayTeam,DC_1X2_H,DC_1X2_D,DC_1X2_A,DC_BTTS_Y,DC_BTTS_N,DC_OU_0_5_O,DC_OU_0_5_U,DC_OU_1_5_O,DC_OU_1_5_U,DC_OU_2_5_O,DC_OU_2_5_U,DC_OU_3_5_O,DC_OU_3_5_U,DC_OU_4_5_O,DC_OU_4_5_U,DC_OU_5_5_O,DC_OU_5_5_U,CONF_1X2_H,AGREE_1X2_H,CONF_1X2_D,AGREE_1X2_D,CONF_1X2_A,AGREE_1X2_A,CONF_BTTS_Y,AGREE_BTTS_Y,CONF_BTTS_N,AGREE_BTTS_N,CONF_OU_2_5_O,AGREE_OU_2_5_O,CONF_OU_2_5_U,AGREE_OU_2_5_U
0.0,0.0,1.0,0.5568205634136444,0.4431794365863556,0.9568038557544783,0.0431961442455215,0.7421972269366197,0.2578027730633803,0.5120335863159724,0.4879664136840276,0.2853293747106266,0.7146706252893734,0.1326550586717134,0.8673449413282865,0.0532318410959891,0.9467681589040108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E0,2025-12-08,Wolves,Man United,0.1076149998493805,0.1517427741258623,0.7406422260247573,0.5840803871904042,0.4159196128095958,0.9740563530733548,0.0259436469266451,0.8858284254794347,0.1141715745205651,0.7157457868777584,0.2842542131222416,0.507301242635316,0.4926987573646839,0.3141259084940163,0.6858740915059837,0.1709061956203625,0.8290938043796374,0.8923850001506195,89.23850001506194,0.8482572258741377,84.82572258741376,0.7406422260247573,74.06422260247571,0.9727401762232402,97.274017622324,0.9727401762232402,97.274017622324,0.796287799438214,79.6287799438214,0.796287799438214,79.6287799438214
0.0,0.0,1.0,0.505637541588732,0.494362458411268,0.9498897968445834,0.0501102031554165,0.7125539641071547,0.2874460358928453,0.4572752871936781,0.5427247128063218,0.2494181441345581,0.7505818558654419,0.1167221107652835,0.8832778892347164,0.0467929196658524,0.9532070803341476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F2,2025-12-08,Reims,Laval,0.6368489393570371,0.1952395630764243,0.1679114975665384,0.5260112750267629,0.4739887249732371,0.954550347014332,0.0454496529856677,0.7952687283965629,0.2047312716034369,0.5754104206656202,0.4245895793343796,0.3513700056185025,0.6486299943814974,0.1836891736103315,0.8163108263896683,0.0832899258512547,0.9167100741487452,0.3631510606429629,36.31510606429629,0.8047604369235757,80.47604369235756,0.1679114975665383,16.791149756653834,0.979626266561969,97.9626266561969,0.979626266561969,97.9626266561969,0.881864866528058,88.1864866528058,0.8818648665280577,88.18648665280577
0.0,0.0,1.0,0.4758230480522101,0.5241769519477899,0.9519407824952296,0.0480592175047702,0.7226931923078818,0.2773068076921182,0.4715785643399928,0.5284214356600072,0.2561659293435748,0.7438340706564252,0.120628311652091,0.879371688347909,0.0483323813469569,0.9516676186530432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G1,2025-12-08,Panserraikos,Panetolikos,0.2066766795162868,0.2629086304064539,0.530414690077259,0.4845278356648992,0.5154721643351008,0.9126704437913876,0.0873295562086125,0.7228726160595549,0.2771273839404453,0.4606041696422365,0.5393958303577636,0.2461176254726561,0.753882374527344,0.1111385423515888,0.8888614576484113,0.0431833129893249,0.9568166870106748,0.7933233204837132,79.33233204837133,0.7370913695935462,73.70913695935461,0.530414690077259,53.04146900772591,0.9912952123873108,99.12952123873109,0.9912952123873108,99.12952123873109,0.9890256053022436,98.90256053022436,0.9890256053022436,98.90256053022436
0.0,0.0,1.0,0.5026912932608812,0.4973087067391187,0.955997335836116,0.0440026641638839,0.735795111712139,0.264204888287861,0.4913938540753716,0.5086061459246284,0.2714824440714871,0.7285175559285129,0.1273239795286354,0.8726760204713645,0.0522675128862219,0.947732487113778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I1,2025-12-08,Torino,Milan,0.1288135363122422,0.2727541473134249,0.5984323163743329,0.3625275049757694,0.6374724950242305,0.8725833018287299,0.1274166981712702,0.6427170328276106,0.3572829671723894,0.3629050961358905,0.6370949038641095,0.1702297477089335,0.8297702522910664,0.0668359454905215,0.9331640545094784,0.022449246623405,0.9775507533765948,0.8711864636877578,87.11864636877577,0.727245852686575,72.7245852686575,0.5984323163743329,59.84323163743328,0.8598362117148881,85.9836211714888,0.8598362117148882,85.9836211714888,0.8715112420605189,87.15112420605189,0.8715112420605189,87.15112420605189
0.0,0.0,1.0,0.5453663199797446,0.4546336800202554,0.955997335836116,0.0440026641638839,0.735795111712139,0.264204888287861,0.4913938540753716,0.5086061459246284,0.2714824440714871,0.7285175559285129,0.1273239795286354,0.8726760204713645,0.0522675128862219,0.947732487113778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I1,2025-12-08,Udinese,Genoa,0.395237003807352,0.3230698843380145,0.2816931118546333,0.431733742053023,0.568266257946977,0.8646770651122998,0.1353229348877002,0.6338922735493475,0.3661077264506523,0.3508246100985609,0.6491753899014391,0.161676452666665,0.8383235473333349,0.062293815700562,0.937706184299438,0.0205195423925391,0.9794804576074608,0.604762996192648,60.47629961926479,0.6769301156619856,67.69301156619856,0.2816931118546333,28.16931118546333,0.8863674220732785,88.63674220732783,0.8863674220732783,88.63674220732783,0.8594307560231893,85.94307560231893,0.8594307560231893,85.94307560231893
0.0,0.0,1.0,0.5303169099611161,0.4696830900388838,0.955997335836116,0.0440026641638839,0.735795111712139,0.264204888287861,0.4913938540753716,0.5086061459246284,0.2714824440714871,0.7285175559285129,0.1273239795286354,0.8726760204713645,0.0522675128862219,0.947732487113778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I1,2025-12-08,Pisa,Parma,0.3023640182814459,0.4153975717892881,0.2822384099292659,0.2510095385461274,0.7489904614538726,0.7278662632563776,0.2721337367436223,0.4004804560153652,0.5995195439846347,0.1533158996119289,0.846684100388071,0.0476925105520622,0.9523074894479376,0.0121830402576316,0.9878169597423684,0.0026327124992495,0.9973672875007504,0.6976359817185541,69.7635981718554,0.5846024282107118,58.46024282107118,0.2822384099292659,28.223840992926583,0.7206926285850113,72.06926285850113,0.7206926285850113,72.06926285850113,0.6619220455365573,66.19220455365573,0.6619220455365574,66.19220455365573
0.0,0.0,1.0,0.5679697298647269,0.432030270135273,0.9506782061325882,0.0493217938674117,0.7163219785517159,0.2836780214482841,0.459853243475712,0.540146756524288,0.2500483370413649,0.7499516629586351,0.1168783440550137,0.8831216559449863,0.0473553300948458,0.952644669905154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I2,2025-12-08,Virtus Entella,Spezia,0.1814736911146915,0.3301139728435188,0.4884123360417897,0.3746610490143172,0.6253389509856828,0.8404995228498072,0.1595004771501928,0.600409803641472,0.399590196358528,0.311661137546448,0.688338862453552,0.1351853318062452,0.8648146681937549,0.0488486898338907,0.9511513101661092,0.015058150826925,0.9849418491730748,0.8185263088853085,81.85263088853085,0.6698860271564813,66.98860271564813,0.4884123360417897,48.84123360417896,0.8066913191495902,80.66913191495902,0.8066913191495902,80.66913191495901,0.851807894070736,85.1807894070736,0.851807894070736,85.18078940707359
0.0,0.0,1.0,0.5412093387194652,0.4587906612805348,0.9506782061325882,0.0493217938674117,0.7163219785517159,0.2836780214482841,0.459853243475712,0.540146756524288,0.2500483370413649,0.7499516629586351,0.1168783440550137,0.8831216559449863,0.0473553300948458,0.952644669905154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I2,2025-12-08,Bari,Pescara,0.6709302984198982,0.1934242896381228,0.1356454119419788,0.6247451665421044,0.3752548334578955,0.9622504197851622,0.0377495802148377,0.8873530730376915,0.1126469269623084,0.7009516024436949,0.299048397556305,0.4892345529511674,0.5107654470488324,0.2975781914478866,0.7024218085521132,0.1587810147718617,0.8412189852281381,0.3290697015801018,32.90697015801018,0.8065757103618771,80.65757103618772,0.1356454119419787,13.564541194197876,0.9164641721773608,91.64641721773609,0.9164641721773608,91.64641721773606,0.7589016410320171,75.89016410320171,0.7589016410320171,75.8901641032017
0.0,0.0,1.0,0.511439535588034,0.488560464411966,0.9506782061325882,0.0493217938674117,0.7163219785517159,0.2836780214482841,0.459853243475712,0.540146756524288,0.2500483370413649,0.7499516629586351,0.1168783440550137,0.8831216559449863,0.0473553300948458,0.952644669905154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I2,2025-12-08,Padova,Cesena,0.246026183727758,0.3535360390147476,0.4004377772574944,0.385010256637326,0.614989743362674,0.8293759843741687,0.1706240156258312,0.5828337563310502,0.4171662436689499,0.2935059439772358,0.7064940560227643,0.1235458587149567,0.8764541412850433,0.0432514856680546,0.9567485143319452,0.0129046600210992,0.9870953399789008,0.753973816272242,75.3973816272242,0.6464639609852524,64.64639609852524,0.4004377772574944,40.04377772574943,0.873570721049292,87.3570721049292,0.873570721049292,87.3570721049292,0.8336527005015237,83.36527005015238,0.8336527005015237,83.36527005015238
0.0,0.0,1.0,0.5159832032956998,0.4840167967043002,0.9506782061325882,0.0493217938674117,0.7163219785517159,0.2836780214482841,0.459853243475712,0.540146756524288,0.2500483370413649,0.7499516629586351,0.1168783440550137,0.8831216559449863,0.0473553300948458,0.952644669905154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I2,2025-12-08,Monza,Sudtirol,0.8140477870475655,0.1561363314465779,0.0298158815058565,0.2435443876011422,0.7564556123988577,0.9148723606410102,0.0851276393589898,0.7328286286028178,0.2671713713971821,0.4716766801100596,0.5283233198899404,0.2554883402922752,0.7445116597077248,0.1170863767684706,0.8829136232315294,0.0462033549611353,0.9537966450388649,0.1859522129524344,18.595221295243448,0.8438636685534221,84.3863668553422,0.0298158815058564,2.9815881505856456,0.7275611843054424,72.75611843054423,0.7275611843054425,72.75611843054423,0.9881765633656524,98.81765633656524,0.9881765633656524,98.81765633656524
